S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5
451,"Yàtọ sí ádùrá kíni Yorùbá n
 pè ádùrá àti àmín""?",option_1,,"Àdúrà -–Ìwúre
Àmín -–Àṣẹ","Àdúrà -–Orin 
Àmín -–Àṣà","Àdúrà -–Ọ̀rọ̀
Àmín -–Èsì","Àdúrà -–Ìjúbà 
Àmín -–Gbólóhùn","Àdúrà -–Ohùn 
Àmín -–Fiífi"
452,"Kíni ""North-East"" ní Yorùbá?",option_2,,Gúúsù-Ìwọ̀-oòrùn,Àrìwá-Ìlà-oòrùn,Apá Òsì,Iwájú,Ìsàlẹ̀
453,Kíni àkólé orúkọ ọba ìlú Ijebu-Igbo?,option_2,,Ọọ̀ni,Orímolúsì,Aláàfin,Awùjalẹ̀,Olúbàdàn
454,"Kíni ""Train station"" ní Yorùbá?",option_3,,Ojú irin,Pápá ọkọ̀ òfurufú,Ibùdó ọkọ̀ ojú irin,Ibùdókọ̀ ọkọ̀ ojú omi,Gàrájì ọkọ̀ akérò
455,"Kíni ""Barn"" ní Yorùbá?",option_2,,Ilé,Aká,Àgọ́,Ilé ẹran,Ilé ìṣúra
456,Ìlú wo ni ile yorùbá ni wón ti sę odún ojude oba,option_3,,Ilé-Ifẹ̀,Abéòkuta,Ìjẹ̀bú-òde,Òṣogbo,Adó-Èkìtì
457,"Kíni ""Genuine"" ní Yorùbá?",option_3,,Èké,Ayédèrú,Ojúlówó,Àdàpọ̀,Àfojúdi
458,Kíni Yorùbá n pè “Àrokò”,option_4,,Sísọ̀rọ̀ ní gbangba,Ìwé kíkà,Ìfọ̀rọ̀wérọ̀ lórí èrọ,Ọ̀nà tí a fi ń bára wa sọ̀rọ̀ tí a kòsì fẹ́ kí ó yé ẹnikẹta,Ìpolówó ọjà
459,"Kíni ""Wood Pecker"" ní Yorùbá?",option_5,,Àwòdì,Ẹyẹlé,Àkàlàmàgbò,Àṣá,ẹyẹ akoko
460,"Kíni ""Brag"" ní Yorùbá?",option_2,,Wíwọ́,Fọ́nnu,Sunkún,Rẹ́rìn-ín,Kígbe
461,Parí òwe yìí: A fàtelewo fanná,option_3,,kò le è pẹ́ tó igi ìdáná,gbogbo ara ló ń jó ni,kìí dáwó dúró,ìyá ọmọ á bínú,afẹ́fẹ́ á gbà á lọ
462,"Kíni ""Teak tree"" ní Yorùbá?",option_4,,Igi Àràbà,Igi Akòko,Igi Ọ̀pẹ,Igi Ìrókò,Igi Ayùnré
463,Kini èjè rùn kanra túmò si?,option_4,,Ìjà pọ̀ láàrín ìdílé,Orí búburú nínú ẹbí,Ẹni tí ó jẹ́ ọ̀tá ilé ẹni,A máa ń lòó ọ̀rọ̀ yí bí a bá ṣe pàdé ará ilé ẹni láìròtẹ́lẹ̀,
464,"Kíni ""Desolate"" ní Yorùbá?",option_3,,Kún fọ́fọ́,Aláràbarà,Ahóró,Dídán,Olókìkí
465,"Kíni ""Sparrow"" ní Yorùbá?",option_2,,Ọ̀kín,alápàándèdè,Àṣá,Òwìwí,Lékeléke
466,Kíni iyato láàárín ẹgbẹ̀ta àti ẹgbàta?,"ẹgbẹ̀ta - 600 
 ẹgbàta - 6000",,"ẹgbẹ̀ta - 60, 
ẹgbàta - 600","ẹgbẹ̀ta - 600 
ẹgbàta - 6000","ẹgbẹ̀ta - 6000
ẹgbàta - 600","ẹgbẹ̀ta - 500
ẹgbàta - 5000","ẹgbẹ̀ta - 300
ẹgbàta - 3000"
467,"Parí òwe yìí...
 Akìí gbé ẹran erin lóri...?",option_4,,Kí á máa rebi ọdẹ ẹkùn,Kí á máa ké lé aja,Kí á máa sọ̀rọ̀ lẹ́yìn ọba,Kí a máa fi ẹsẹ̀ wa ihò ìrẹ̀(cricket),Kí á máa wá ìjà àjànàkú
468,Irú ọmọ wo ni wón ń pè ní Ìdògbé?,option_2,,Ọmọ tí a bí ṣáájú ìbejì,Ọmọ tí a bí lẹ́hìn Àlàbá,bejì àkọ́kọ́,Ọmọ tí ìyá bí gbẹ̀yìn,Abíkú ọmọ
469,"Kíni ""Creeper"" ní Yorùbá?",option_4,,Kóríko,Ìràwé,Èso,Àfòmọ́,Gbòǹgbò
470,"Kíni àwon orọ wọnyí ""belching or burping"" tun mò sí ní Yorùbá",option_3,,Ìrora inú,Mími hẹẹ́,Gùnfẹ̀,Òsúkè,Sísín
471,"Àwọn wo ni wón ma n ""sun ijálá""",option_1,,Àwọn ọlọ́de,Àwọn onílù,Àwọn ọba,Àwọn babaláwo,Àwọn oníṣègùn
472,"Kíni ""Hiccups"" ní Yorùbá?",option_4,,Orí fífọ́,Mími gbùùrù,Àárẹ̀,Òsúkè,Gùnfẹ̀
473,"Kíni ""Cobweb"" ní Yorùbá?",option_5,,Owú ìránṣọ,Ìtàkùn igi,Àwọ̀n ejò,Ilé ẹyẹ,Ówú alántakùn
474,"Kíni ọrọ yí túmosí ""takété""",option_2,,Kí ènìyàn jókòó síbi kan,Kí ènìyàn dúró sí ọ̀nà tó jìn,Kí ènìyàn tẹ́tí sílẹ̀,Kí ènìyàn dákẹ́,Kí ènìyàn ṣubú
475,"Kíni ""Striike"" ní Yorùbá?",option_2,,Jíjá,ìyanşélódì,Fìtínà,Pípèjọ,Ìdájọ́
476,Kíni màjàlà tún mọ sí ?,Oun tí ó máa ń bá iná jíjó lọ sókè (burnt flakes),,Èéfín,Oun tí ó máa ń bá iná jíjó lọ sókè,Àpáàdì iná,Eérú,Ìtànsan iná
477,"Kíni ""width"" ní Yorùbá?",option_2,,Gígùn,ìbú,Gíga,Ìpín,Òṣùwọ̀n
478,"Kíni Yorùbá ""height"" àti ""length""?",option_2,,Ìbú àti Gíga,Gíga àti Gígùn,Fífẹ̀ àti Ìkún,Òkè àti Ìsàlẹ̀,Iwájú àti Ẹ̀yìn
479,"Tani ó kọ ìwé yìí ""ogboju odẹ nínú igbó irúnmolè""?",option_4,,Hubert Ogunde,Wọlé Sóyínká,Olú Owólabí,Daniel Ọlọ́runfẹ́mi Fágúnwà,Túndé Kèlání
480,"Kíni ""Wood Carver"" ní Yorùbá?",option_2,,Alágbẹ̀dẹ,Agbẹ́gilére,Aránṣọ,Onídìrí,Ọlọ́dẹ
481,"Kíni ""Bone Marrow"" ní Yorùbá?",option_5,,Ẹ̀jẹ̀,Eegun,Ọkàn,Èdọ̀,Mùdùnmúdùn
482,Parí òwe yìí: ajá kìí rorò títí,option_5,,Kí ó bí ọmọ lóríṣìí méjì,Kí ó gbàgbé olówó rẹ̀,Kí ó má jẹ tútù,Kí ó má jẹ ìgbẹ́,Kí ó ṣọ́ ojúlé méjì papọ̀
483,"Yato sí pàsán, àtòrì àti ẹgba kí tún ní orúkọ tí Yorùbá n pè ""cane""?",option_2,,Igi,Ọrẹ́,Ọ̀pá,Gbọ̀ngàn,Irin
484,"Parí òwe yìí: ẹgbẹrin òtẹ,...",option_3,,bàbà ìbàjẹ́ ló máa gbẹ̀yìn,"bí a kò bá rí ni, a ó ṣe é",..bí a ṣe ń pakan nìkán rúwẹ́,òwe ni wọ́n fi ń parọ́ rẹ̀,ológun ni yóò gbẹ́yìn wọn
485,"Kíni ""Launching"" ní Yorùbá?",option_2,,Ìgbésókè,Ìfilọ́lẹ̀,Ìṣípayá,Ìparí,Ìràpadà
486,Àwọn agbá bò wọ́n ní 'adìyẹ ìrànà kì í ṣe òun ajẹgbẹ' ...kíni Adìyẹ ìrànà?,option_1,,Adìyẹ tí à ń pa fún òkú,Adìyẹ ẹbọ,Adìyẹ tó ń ṣọ́nà,Àkùkọ gàgàrà,Adìyẹ tí ó sọnù
487,Ṣe àtúnṣe àti àtúnpà òwe Yorùbá yìí 'oyè tó kan ará ìwó ń bọ́ wá kan ará ẹ̀dẹ',option_3,,Oyè tó kan ará Èkìtì ń bọ́ wá kan ará Òǹdó,Oyè tó kan ará Ọ̀yọ́ ń bọ́ wá kan ará Ìbàdàn,Oyè tó kan ará Aho ń bọ́ wá kan ará ẹ̀dẹ,Kò ní àtúnṣe kankan,Oyè kìí kọjá láti ìlú kan sí òmíràn
488,Àwọn wo ni Yorùbá ḿ pè ní 'òrùn ẹní' àti pé kíni ìdí tí wọ́n fi ń pè wọ́n bẹ?,option_3,,Àwọn ọ̀rẹ́ tímọ́tímọ́,Àwọn ọ̀tá,Òbí ẹni,Àwọn ọmọ,Àwọn alàgbà ìlú
489,Kíni ìtumọ̀ òwe yìí 'alágbára má mọ èrò baba ọ̀lẹ?',option_4,,Ènìyàn gbọdọ̀ ní sùúrù bí ó ti wù kí ó lágbára tó,Alágbára tó bá ọlẹ jà yóò pàdánù,Alágbára ní láti máa gbọ́ràn sí ọ̀lẹ lẹ́nu,Ẹnití ó bá pe ara rẹ̀ ní alágbára gbúdò máa ṣe ìwáàdí láti mọ èrò nígbogbo ìgbà,Kò sí ìyàtọ̀ láàárín alágbára àti ọ̀lẹ
490,Parí òwe yìí: Ẹni tí ẹgún bá gúnlẹ̀sẹ̀?,option_2,,Kí ó wo bàtà ọba,Ni ń sá làkàlàkà relé alábẹ,Kì í dúró sí ibi kan,Á máa ké ramúramù,Kò lè gun òkè àjà
491,Parí òwe yìí: Sàn-án lààrín...,...ajé ní múni pẹ́ kọ̀rọ̀,,ilé ni múni mọ àgbà,ọmọdé ni múni dàgbà,ọ̀tá ni múni ṣọ́ra,ajé ní múni pẹ́ kọ̀rọ̀,ogójì ni múni kó ọrọ̀ jọ
492,"Parí òwe Yorùbá yìí:
 'Ẹ gún ẹṣin ní kẹṣẹ, ẹ lọ ńtàpá' ...............?",option_4,,Bí ó bá ṣubú ǹkọ́?,Ṣé kò ní jẹ koríko mọ́?,Àgùntàn ní ń ṣe bẹ́ẹ̀,"Ẹgún ẹṣin ní kẹṣẹ ẹ ní ó ń tàpá, baba ta ló ma ti rin bọ̀ láyà tí ò ní tākítì",Kí ló dé tí ẹ kò lọ ran án?
493,"Fi ọ̀rọ̀ tó bá yé sí àlàfo yìí
 'Ọ̀pọ̀ igi ní bẹ̀ nìgbó ká tó fi .... gbẹ́ gbẹ̀du?",option_2,,ọwọ́,igi ọ̀mọ̀,ọgbọ́n,agbára,èso
494,Kíni Yorùbá n pè ní àpáádì?,option_4,,Ìkòkò odidi,Jìgì,Garawa,àfọ́kù ìkòkò,Agbada
495,Irú ọbẹ wo ni Yorùbá n pè ní ọbẹ àtẹ?,option_1,,Ọbè tí a kò fi iyọ̀ sí,Ọbẹ̀ tí ó kún fún epo,Ọbẹ̀ tí ó kan,Ọbẹ̀ tí ó dùn jùlọ,Ọbẹ̀ aládùn
496,"Parí òwe Yorùbá yìí
 'À pa àímú délé......?",option_4,,ló mú kí ebi pa ìyá ọmọ,ni kò jẹ́ ká mọ iye eran inú igbó,ni kò jẹ́ kí ọlọ́dẹ níyì,Ni ò jẹ́ kamọ̀ pé ológbò ń ṣe ọdẹ,ló sọ ajá di ọ̀lẹ
497,"Parí òwe yìí:
 'Àtìrà ibọn kò tó àtìrà ẹtù.......?'",option_5,,nítorí ẹtù lówó lórí ju ìbọn lọ,nítorí kì í ṣe ọjọ́ kan làá lo ìbọn,nítorí ìbọn kìí jẹ́ kómó ẹtù,nítorí ẹtù ló lágbára jù,"Nítorí ojókan làá ra ìbọn, ojoójúmọ́ làá ra ẹ̀tù"
498,"Kíni ""Red river hog"" ní Yorùbá?",option_1,,Túùpú,Èsúrú,Ògòǹgò,Kìnnìún,Ọ̀yà
499,"Kíni ""personification"" ní Yorùbá?",Ìfohunpènìyàn,,Ìkọ̀wé,Àfiwé,Òwe pípa,Ìsọ̀rọ̀gbèsì,Àlàyé
500,"Kíni ""gourd"" ní Yorùbá?",option_1,,àdó,Akèrègbè,Àgbè,Ègúsí,Igbá
501,"Kíni ""Animal Shell"" ní Yorùbá?",option_3,,Egungun ẹran,Awọ ẹran,Ìkarahun,Irun ẹran,Ìpẹ́ ẹran
502,"Kíni ""Nettle rash"" ní Yorùbá?",option_3,,Kúrúnà,Èélá,Inárun,Làpálàpá,Ìhúnra
503,"Nínú ayò (ọpọ́n)
 ihò mééló ní ó wà nínú àpótí ayò ọpọ́n.....?",Méjìlá(12),,Mẹ́fà,Mẹ́jọ,Mẹ́wàá,Méjìlá,Ogún
504,"Kíni ""Lightning"" ní Yorùbá?",option_4,,Àrá,Òjò,Òkùnkùn,Mọ̀nàmọ́ná,Òfúrufú
